 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2022
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"231085 PINDORETAMA";5;3;7;5;4;5;2;2;5;6;3;4;6;6;3;3;5;2;1;4;4;2;4;4;7;2;1;105
"231090 PIQUET CARNEIRO";7;13;7;9;10;6;10;9;3;4;3;-;2;2;3;2;2;3;1;-;3;-;1;3;3;-;4;110
"231095 PIRES FERREIRA";2;2;-;8;6;4;6;6;7;3;3;1;1;1;2;-;2;1;1;-;2;-;-;-;2;1;1;62
"231100 PORANGA";1;9;14;15;13;6;7;8;6;6;4;3;3;6;4;5;4;1;4;3;2;3;1;3;1;3;2;137
"231110 PORTEIRAS";10;7;6;7;6;8;5;3;8;6;6;1;4;3;7;2;1;4;3;1;6;2;3;4;2;7;3;125
"231120 POTENGI";2;9;8;11;11;3;-;3;1;3;9;6;3;5;5;3;1;4;4;1;-;1;-;2;2;4;1;102
"231123 POTIRETAMA";-;7;3;3;2;1;1;1;3;1;5;2;-;2;1;2;-;-;-;1;-;-;1;-;1;1;2;40
"231126 QUITERIANOPOLIS";10;3;11;15;11;11;5;16;17;7;10;2;8;3;4;4;6;5;6;3;3;6;4;5;3;3;3;184
"231130 QUIXADA";58;54;48;33;39;35;28;35;27;28;25;27;32;18;18;27;11;27;22;21;22;26;12;22;27;23;15;760
"231135 QUIXELO";8;10;5;6;3;9;10;6;8;9;4;4;2;4;1;8;1;3;2;1;4;2;4;6;5;2;3;130
"231140 QUIXERAMOBIM";46;35;38;29;23;18;38;35;29;23;18;15;20;13;12;23;14;12;15;9;17;23;21;17;12;13;19;587
"231150 QUIXERE";1;7;5;5;8;7;8;8;8;8;6;5;9;5;1;3;1;1;7;6;2;4;3;1;4;3;2;128
"231160 REDENCAO";6;7;5;7;5;8;6;1;6;10;8;6;10;5;4;13;8;8;7;4;3;1;4;7;4;2;6;161
"231170 RERIUTABA";3;4;7;18;11;15;10;3;9;4;3;6;4;6;4;-;3;4;7;2;2;7;9;3;2;-;3;149
"231180 RUSSAS";3;15;9;33;32;25;19;13;15;9;11;8;15;15;10;9;10;12;7;10;16;17;11;13;5;8;9;359
"231190 SABOEIRO";12;26;21;29;4;8;11;5;3;7;11;4;7;5;1;3;6;3;3;3;1;4;2;-;1;1;-;181
"231195 SALITRE";2;7;10;11;12;14;12;9;14;3;11;8;6;13;5;8;10;5;5;2;4;6;5;6;4;4;5;201
"231200 SANTANA DO ACARAU";24;16;15;17;25;18;25;13;14;15;12;9;5;10;11;5;9;11;16;6;5;7;6;6;12;5;5;322
"231210 SANTANA DO CARIRI";1;11;12;11;13;10;11;13;8;7;8;6;6;6;9;8;4;4;2;6;2;2;1;2;2;-;2;167
"231220 SANTA QUITERIA";22;12;23;12;27;20;17;12;15;13;17;10;10;9;10;9;8;9;10;9;7;5;8;13;5;6;4;322
"231230 SAO BENEDITO";30;37;73;53;38;36;42;37;23;26;17;12;19;11;8;12;18;17;8;12;10;8;6;13;7;11;9;593
"231240 SAO GONCALO DO AMARANTE";12;10;8;9;26;12;11;12;10;6;12;8;8;11;7;13;4;12;5;8;13;17;12;14;6;10;6;282
"231250 SAO JOAO DO JAGUARIBE";2;6;2;5;2;3;2;1;1;1;-;1;1;2;1;2;-;-;1;-;-;1;1;2;-;-;2;39
"231260 SAO LUIS DO CURU";5;7;2;5;5;3;3;9;5;2;7;1;1;-;3;4;2;2;-;2;1;2;1;1;-;2;3;78
"231270 SENADOR POMPEU";10;9;24;23;22;18;12;8;16;12;3;12;7;8;10;4;2;5;7;1;12;5;4;6;3;5;2;250
"231280 SENADOR SA";9;7;9;8;2;6;10;1;4;1;3;2;2;1;1;-;1;1;-;-;1;3;-;1;1;1;-;75
"231290 SOBRAL";123;150;157;126;98;107;65;76;96;59;53;46;43;60;42;58;47;55;46;29;30;26;32;21;33;29;39;1746
"231300 SOLONOPOLE";2;3;6;7;7;4;8;6;7;5;4;3;3;3;2;3;4;2;3;3;4;7;5;5;1;5;2;114
"231310 TABULEIRO DO NORTE";6;15;9;10;17;9;6;14;7;11;5;2;10;6;6;8;1;7;7;5;8;5;4;6;5;5;8;202
"231320 TAMBORIL";6;7;12;9;8;10;8;12;10;8;11;8;5;8;3;2;6;6;6;5;4;1;8;4;7;7;7;188
"231325 TARRAFAS";-;4;4;1;3;-;3;1;2;1;3;5;7;1;3;-;-;3;3;1;2;2;1;2;1;-;1;54
"231330 TAUA";19;62;58;43;42;25;36;16;22;20;15;11;11;8;9;8;8;6;9;8;11;6;7;10;11;7;10;498
"231335 TEJUCUOCA";7;6;4;6;6;4;7;6;6;3;3;5;6;3;1;4;5;4;3;1;2;4;4;7;7;-;1;115
"231340 TIANGUA";66;65;47;66;64;56;52;46;17;29;26;32;25;23;19;24;15;21;15;13;19;12;18;17;10;17;17;831
"231350 TRAIRI";10;19;23;20;16;19;17;13;10;11;10;8;9;12;15;11;12;8;12;8;13;9;9;9;4;10;10;327
"231355 TURURU";4;5;4;4;7;5;7;4;3;6;2;4;2;3;3;2;5;-;3;4;4;2;4;6;2;1;6;102
"231360 UBAJARA";17;11;24;31;26;20;16;13;19;13;7;15;7;9;9;5;10;2;9;9;8;6;12;8;9;5;4;324
"231370 UMARI";3;9;4;4;3;1;4;5;2;3;3;2;4;1;3;2;4;4;1;3;-;1;1;-;-;-;-;67
"231375 UMIRIM";4;8;8;14;8;7;8;6;10;6;7;4;5;6;2;2;3;5;4;5;4;6;5;5;4;3;3;152
"231380 URUBURETAMA";25;26;18;10;18;7;22;12;9;5;14;1;3;3;6;2;3;5;6;2;4;5;4;11;5;5;4;235
"231390 URUOCA";14;15;13;15;8;5;7;5;14;5;3;2;2;2;3;3;1;-;1;4;3;3;4;2;3;5;1;143
"231395 VARJOTA";1;6;15;8;14;15;5;8;11;6;4;6;3;4;5;3;6;6;3;-;3;3;4;1;2;3;1;146
"231400 VARZEA ALEGRE";21;18;34;30;24;21;23;20;16;10;6;6;16;6;5;4;2;9;6;3;5;4;6;2;5;5;5;312
"231410 VICOSA DO CEARA";62;42;45;57;51;30;36;21;32;19;14;20;21;24;17;8;12;11;9;7;9;16;14;7;8;12;8;612
" MUNICIPIO IGNORADO - RN";48;81;81;31;-;-;-;7;15;1;-;-;16;35;7;17;3;-;1;-;-;-;-;-;-;-;-;343
"240010 ACARI";7;4;5;4;5;1;4;1;2;4;1;2;1;3;-;3;-;3;-;2;1;2;-;3;-;4;-;62
"240020 ACU";34;19;21;22;33;15;19;22;9;12;5;15;9;15;11;11;15;10;8;15;13;6;10;12;8;3;6;378
"240030 AFONSO BEZERRA";5;3;4;6;5;4;4;1;5;1;1;6;3;2;1;1;4;4;1;-;2;1;2;-;-;-;2;68
"240040 AGUA NOVA";-;-;-;2;-;1;-;1;-;-;2;-;-;-;-;3;1;-;-;-;-;-;-;2;1;-;-;13
"240050 ALEXANDRIA";2;4;4;3;6;4;5;3;5;2;2;-;1;2;3;1;1;3;-;2;-;2;2;2;-;-;1;60
"240060 ALMINO AFONSO";-;-;-;-;2;1;1;1;1;1;-;1;3;3;-;2;2;-;1;-;2;1;-;1;-;-;1;24
"240070 ALTO DO RODRIGUES";1;1;2;6;2;-;3;-;2;1;2;-;-;4;4;2;2;3;3;2;-;2;1;1;1;2;3;50
"240080 ANGICOS";8;9;7;5;5;4;5;2;2;3;3;-;2;2;1;2;2;1;-;2;4;2;-;-;1;3;1;76
"240090 ANTONIO MARTINS";-;2;4;4;3;-;2;3;3;-;2;-;3;3;3;-;1;1;1;1;2;-;2;2;4;1;-;47
"240100 APODI";16;19;15;15;12;17;13;12;8;8;2;6;1;3;7;4;1;3;5;3;10;3;8;5;1;8;8;213
"240110 AREIA BRANCA";11;5;3;4;9;8;8;3;11;9;5;9;10;1;8;5;4;8;6;5;5;6;6;1;2;4;2;158
"240120 ARES";9;5;4;5;10;2;4;4;2;5;4;3;3;-;5;4;3;4;1;2;2;4;2;4;1;4;3;99
"240130 AUGUSTO SEVERO";-;2;2;1;5;5;5;1;1;5;3;4;2;2;1;2;2;-;-;2;-;2;-;2;2;1;1;53
"240140 BAIA FORMOSA";1;4;3;2;3;3;2;4;2;2;-;3;2;1;3;2;2;3;1;1;1;2;1;1;-;3;2;54
"240145 BARAUNA";6;7;16;11;15;10;12;13;16;6;6;9;3;7;3;6;7;6;4;9;3;9;4;5;3;4;4;204
"240150 BARCELONA";2;3;3;2;3;-;1;-;-;1;1;-;-;-;1;-;-;-;1;2;1;-;-;2;1;1;-;25
"240160 BENTO FERNANDES";-;1;-;3;1;3;3;1;3;1;1;2;-;1;1;-;1;2;1;1;2;1;-;-;1;-;-;30
"240165 BODO";-;-;1;-;-;1;1;2;-;-;1;4;1;-;2;1;-;1;1;-;1;-;1;-;1;-;1;20
"240170 BOM JESUS";2;6;3;4;5;5;3;4;5;2;4;1;1;-;-;4;3;1;2;-;1;3;1;-;1;1;3;65
"240180 BREJINHO";5;8;8;6;4;3;8;4;2;-;2;1;4;1;4;1;-;1;3;1;-;3;4;4;4;4;2;87
"240185 CAICARA DO NORTE";-;2;1;1;1;1;2;1;2;2;1;1;1;-;1;2;5;-;-;1;1;-;-;-;-;-;1;27
"240190 CAICARA DO RIO DO VENTO";1;1;2;-;2;1;-;2;1;-;-;1;-;-;2;-;-;-;-;-;-;-;-;2;-;-;-;15
"240200 CAICO";39;26;42;32;29;32;37;19;18;13;15;7;12;12;13;16;9;14;6;6;11;7;10;11;5;11;8;460
"240210 CAMPO REDONDO";5;-;2;6;-;1;3;1;2;2;3;2;1;-;4;1;4;2;-;2;3;3;3;-;2;-;4;56
"240220 CANGUARETAMA";11;12;14;10;20;17;8;13;15;4;6;5;7;3;11;12;6;10;4;4;7;7;4;5;7;8;5;235
"240230 CARAUBAS";4;4;4;3;11;9;13;8;6;6;3;5;6;4;5;5;5;4;7;7;2;1;3;4;-;-;2;131
"240240 CARNAUBA DOS DANTAS";2;3;6;3;1;1;2;1;2;-;-;4;4;1;1;-;-;2;-;2;-;-;2;3;1;1;-;42
"240250 CARNAUBAIS";1;2;4;6;2;2;-;2;3;4;4;-;1;2;2;1;2;5;3;-;2;1;-;3;-;-;1;53
"240260 CEARA-MIRIM";36;33;26;16;27;20;27;18;10;14;14;21;23;11;11;19;12;24;12;24;18;15;15;10;12;18;8;494
"240270 CERRO CORA";4;6;6;11;4;6;2;3;2;1;1;2;6;3;2;4;3;1;1;2;4;2;2;2;-;-;-;80
"240280 CORONEL EZEQUIEL";4;5;8;-;2;3;4;1;2;3;1;1;1;2;-;-;2;-;1;1;1;-;-;1;1;-;1;45
"240290 CORONEL JOAO PESSOA";-;2;1;-;-;-;-;1;-;2;-;-;-;3;1;1;1;-;4;2;-;-;-;-;1;2;4;25
"240300 CRUZETA";-;3;8;1;3;-;4;3;5;2;-;2;1;3;-;3;4;2;1;6;1;1;1;3;1;1;1;60
"240310 CURRAIS NOVOS";18;13;17;25;20;20;22;18;14;15;11;14;16;14;10;8;7;8;7;7;6;4;7;2;5;7;4;319
"240320 DOUTOR SEVERIANO";1;-;2;1;-;2;3;2;2;-;1;2;4;-;1;2;2;2;3;2;-;-;-;2;-;2;1;37
"240325 PARNAMIRIM";70;52;55;49;46;62;42;42;49;46;34;33;33;42;40;35;51;55;35;52;52;33;47;38;43;32;32;1200
"240330 ENCANTO";1;4;3;3;1;4;3;-;-;-;-;1;1;3;1;1;1;1;2;3;1;-;2;-;2;-;-;38
"240340 EQUADOR";4;3;4;2;8;1;1;1;2;2;2;2;-;1;2;2;2;-;2;-;1;-;1;-;1;1;-;45
"240350 ESPIRITO SANTO";1;3;3;1;1;9;4;-;4;2;1;1;1;2;3;2;3;3;3;3;2;5;1;1;2;2;1;64
"240360 EXTREMOZ";8;4;8;7;13;6;3;2;7;3;4;2;3;5;3;5;5;12;6;13;11;9;16;8;8;4;8;183
"240370 FELIPE GUERRA";-;2;1;1;3;1;1;1;1;1;1;-;1;1;-;-;-;1;1;-;1;1;1;-;-;-;-;20
"240375 FERNANDO PEDROZA";-;1;2;-;1;1;1;1;1;1;1;-;-;2;-;2;2;-;1;1;-;-;-;1;1;2;-;22
"240380 FLORANIA";4;7;8;3;5;6;5;1;4;2;4;1;5;6;3;2;4;-;1;2;1;1;1;1;3;2;1;83
"240390 FRANCISCO DANTAS";-;2;-;-;1;-;2;2;2;-;3;-;-;-;-;-;-;1;1;3;-;1;-;-;-;-;2;20
"240400 FRUTUOSO GOMES";1;-;1;-;2;-;3;1;3;-;2;1;-;-;1;1;-;-;-;-;-;-;-;-;1;3;-;20
"240410 GALINHOS";2;2;-;2;1;-;1;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;15
"240420 GOIANINHA";16;14;14;16;8;16;11;7;13;7;10;4;8;4;1;4;9;9;10;8;10;6;4;8;7;9;5;238
"240430 GOVERNADOR DIX-SEPT ROSADO";-;2;6;8;4;3;8;3;-;7;2;4;2;3;3;3;2;3;1;3;2;1;1;4;2;6;1;84
"240440 GROSSOS";-;1;2;1;-;2;1;5;4;5;4;4;-;2;1;-;1;1;2;1;-;-;-;1;-;2;2;42
"240450 GUAMARE";8;2;1;1;2;1;1;4;2;1;4;2;3;4;3;1;3;3;6;8;7;3;1;5;2;2;2;82
"240460 IELMO MARINHO";1;1;1;1;-;3;8;3;3;1;-;2;-;-;2;1;6;5;4;-;3;4;2;3;1;4;1;60
"240470 IPANGUACU";6;1;6;6;6;6;5;4;6;4;1;4;1;4;3;7;3;3;4;2;3;3;3;3;7;3;3;107
"240480 IPUEIRA";-;-;1;-;2;1;-;-;1;-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;11
"240485 ITAJA";-;1;2;3;1;2;2;2;5;3;1;-;2;5;1;2;1;1;2;-;-;4;2;5;1;2;1;51
"240490 ITAU";2;4;-;2;5;1;3;2;3;-;1;1;-;-;2;-;2;1;2;-;-;-;-;1;-;-;-;32
"240500 JACANA";8;11;6;6;2;4;3;2;4;3;-;1;-;1;-;-;3;5;3;1;-;2;1;1;-;2;-;69
"240510 JANDAIRA";2;3;3;2;6;1;-;1;1;3;4;4;1;2;5;3;1;2;2;-;2;2;-;-;-;3;1;54
"240520 JANDUIS";1;1;6;3;2;1;-;1;2;4;2;2;2;3;-;3;-;1;-;-;2;-;1;-;-;1;1;39
"240530 JANUARIO CICCO";1;1;3;4;4;5;-;-;3;5;2;-;1;1;1;1;2;2;2;2;2;2;1;2;1;-;2;50
"240540 JAPI";1;3;3;-;1;-;2;1;3;-;1;3;2;2;1;1;-;1;2;1;-;2;-;-;-;-;-;30
"240550 JARDIM DE ANGICOS";1;1;-;-;1;1;1;1;-;-;-;1;-;2;-;-;1;-;-;-;-;-;3;-;-;-;1;14
"240560 JARDIM DE PIRANHAS";3;5;3;8;3;4;2;4;2;5;2;2;2;5;4;5;1;4;3;2;1;2;-;4;3;2;2;83
"240570 JARDIM DO SERIDO";4;2;2;3;7;4;4;1;2;1;4;3;3;1;-;2;1;-;2;2;-;1;2;-;1;1;2;55
"240580 JOAO CAMARA";11;8;7;6;10;9;11;11;9;7;7;7;9;8;10;11;4;12;6;8;5;7;3;7;11;10;3;217
"240590 JOAO DIAS";1;-;2;-;1;1;1;-;-;-;-;-;1;1;1;-;-;1;1;-;-;-;1;-;-;-;-;12
"240600 JOSE DA PENHA";1;3;2;2;1;-;1;2;1;3;1;-;-;1;1;-;-;5;2;1;1;2;4;2;1;1;-;38
"240610 JUCURUTU";10;13;12;4;8;12;7;7;9;2;7;8;6;4;9;6;8;3;1;7;1;2;4;2;2;2;5;161
"240615 JUNDIA";-;-;-;-;-;-;-;2;1;1;-;-;-;1;-;1;-;1;1;-;1;3;-;-;-;1;-;13
"240620 LAGOA D'ANTA";3;1;1;2;-;-;1;2;2;1;2;1;1;-;2;1;1;1;-;1;1;2;-;1;2;-;-;29
"240630 LAGOA DE PEDRAS";3;3;1;-;2;2;2;1;-;2;2;1;2;1;-;1;3;-;1;3;-;3;1;2;-;2;-;38
"240640 LAGOA DE VELHOS";-;1;4;1;3;1;2;1;1;1;-;-;-;1;-;-;-;1;-;-;-;-;2;1;1;1;1;23
"240650 LAGOA NOVA";1;1;9;5;5;5;4;8;2;6;4;5;4;9;6;2;4;3;2;6;2;3;6;5;5;3;4;119
"240660 LAGOA SALGADA";1;5;2;1;2;1;2;2;3;-;1;2;3;1;-;3;2;-;3;2;2;1;1;2;1;1;3;47
"240670 LAJES";5;5;1;8;5;1;6;4;4;1;1;3;4;1;4;1;2;1;1;1;2;3;2;1;1;-;-;68
"240680 LAJES PINTADAS";-;-;4;2;1;1;1;-;3;4;-;1;1;-;-;1;1;-;-;-;1;2;1;-;-;-;-;24
"240690 LUCRECIA";-;-;-;-;-;1;1;2;-;1;2;2;-;-;-;-;1;2;2;-;-;-;-;-;-;2;2;18
"240700 LUIS GOMES";-;2;4;9;1;-;3;3;5;2;2;2;2;2;4;1;5;1;1;3;1;5;2;3;2;3;1;69
"240710 MACAIBA";28;31;30;33;30;27;24;19;16;10;9;11;10;14;8;17;17;18;18;15;13;8;12;13;11;15;10;467
"240720 MACAU";3;6;8;8;8;6;6;2;7;3;2;6;3;2;4;5;7;5;5;6;6;1;4;7;1;4;4;129
"240725 MAJOR SALES";-;-;3;-;-;1;2;-;2;-;-;1;-;-;1;-;1;-;-;-;-;-;1;3;-;2;-;17
"240730 MARCELINO VIEIRA";-;2;4;-;3;1;1;-;3;1;1;1;1;2;3;3;-;-;3;1;1;1;3;5;2;-;1;43
"240740 MARTINS";3;2;1;4;1;2;3;1;2;3;3;5;2;2;-;2;3;-;1;-;-;-;-;-;3;-;1;44
"240750 MAXARANGUAPE";1;1;2;-;2;2;4;2;4;2;2;5;1;1;2;2;1;5;2;3;3;2;2;2;4;3;1;61
"240760 MESSIAS TARGINO";2;2;-;-;2;1;3;1;-;1;1;2;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;18
"240770 MONTANHAS";4;2;4;2;3;4;6;1;3;3;5;3;1;2;1;2;2;7;6;3;1;4;4;-;1;1;2;77
"240780 MONTE ALEGRE";4;10;2;4;11;4;2;2;3;2;4;2;3;3;6;6;4;4;4;4;2;5;3;1;2;5;2;104
"240790 MONTE DAS GAMELEIRAS";3;1;4;-;1;1;1;-;-;2;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;2;20
"240800 MOSSORO";62;68;80;114;117;87;111;101;79;86;61;75;80;67;68;61;61;49;51;40;52;50;40;33;28;33;31;1785
"240810 NATAL";445;376;294;384;315;268;315;230;241;225;227;234;206;151;144;124;154;151;144;177;152;153;135;137;103;135;103;5723
"240820 NISIA FLORESTA";7;4;4;5;10;3;2;5;4;3;2;2;5;4;7;6;6;6;7;9;3;5;3;3;4;3;4;126
"240830 NOVA CRUZ";25;25;23;27;11;15;13;15;16;15;8;8;8;3;10;6;5;5;8;7;7;4;7;6;8;7;3;295
"240840 OLHO-D'AGUA DO BORGES";-;-;2;2;4;-;1;-;-;-;2;1;-;-;1;-;-;2;-;-;-;1;-;1;-;-;-;17
"240850 OURO BRANCO";-;-;2;1;1;3;3;2;1;3;1;-;1;1;1;-;-;1;4;1;-;1;-;-;-;-;1;28
"240860 PARANA";1;-;2;1;1;-;1;-;-;-;-;-;-;-;-;-;-;1;1;1;-;2;2;-;-;1;-;14
"240870 PARAU";1;-;-;-;1;1;2;3;2;3;-;1;3;1;-;-;-;-;-;-;-;-;-;-;-;1;-;19
"240880 PARAZINHO";3;1;4;2;3;2;-;3;4;-;-;-;-;2;-;2;1;-;-;1;-;-;2;1;1;2;1;35
"240890 PARELHAS";21;16;15;13;15;12;9;9;2;13;3;5;5;9;6;4;6;7;7;8;3;4;5;2;3;-;1;203
"240895 RIO DO FOGO";-;3;2;2;4;1;1;1;2;1;1;2;2;-;2;3;3;3;1;2;2;1;-;2;1;2;1;45
"240910 PASSA E FICA";2;1;5;2;1;4;4;5;1;4;1;2;6;4;2;1;4;6;1;1;1;6;3;-;1;1;-;69
"240920 PASSAGEM";-;1;1;-;1;-;1;-;1;1;1;1;-;-;1;1;-;1;-;2;1;2;-;1;-;1;-;18
"240930 PATU";8;4;10;2;1;3;3;4;3;5;2;2;2;1;2;1;2;4;-;2;2;-;1;-;1;1;2;68
"240933 SANTA MARIA";-;1;-;-;1;1;-;1;1;3;1;1;1;2;-;-;1;1;-;-;1;-;-;2;-;-;1;19
"240940 PAU DOS FERROS";29;18;10;18;11;10;14;7;11;6;8;8;7;6;8;6;5;2;10;10;2;2;6;7;5;7;6;239
"240950 PEDRA GRANDE";-;-;-;1;2;1;1;1;-;1;1;-;1;2;1;1;-;2;-;-;-;1;1;1;-;-;1;19
"240960 PEDRA PRETA";1;1;1;1;1;3;1;-;1;-;-;-;-;-;2;-;-;2;-;-;-;2;-;1;-;-;-;17
"240970 PEDRO AVELINO";3;3;5;5;4;4;9;1;1;2;4;-;-;2;2;1;-;-;5;2;-;-;2;1;-;1;-;57
"240980 PEDRO VELHO";6;21;11;13;9;6;12;8;7;3;2;2;6;2;-;3;6;5;3;1;2;4;1;2;2;3;-;140
"240990 PENDENCIAS";8;6;2;1;3;3;1;2;2;2;1;4;4;4;-;2;1;2;4;-;2;2;1;1;3;1;3;65
"241000 PILOES";-;-;-;1;2;-;-;2;1;3;-;-;-;-;-;-;-;-;-;1;1;-;2;1;1;1;1;17
"241010 POCO BRANCO";9;3;11;7;2;4;2;5;2;3;2;5;2;2;1;2;2;2;1;3;4;2;1;3;3;5;2;90
"241020 PORTALEGRE";-;1;1;6;3;2;1;1;1;1;3;2;-;1;1;1;1;2;2;2;1;1;3;1;2;2;1;43
"241025 PORTO DO MANGUE";-;1;1;-;5;2;1;2;1;2;1;1;-;2;2;1;2;-;1;-;-;1;-;-;-;2;1;29
"241030 SERRA CAIADA";2;2;5;-;8;2;9;9;2;2;5;6;3;2;3;3;3;1;3;4;2;3;-;2;2;-;1;84
"241040 PUREZA";5;2;4;3;1;2;1;-;1;2;2;-;2;1;2;3;1;1;4;3;-;5;2;3;3;2;4;59
"241050 RAFAEL FERNANDES";1;-;1;3;1;-;2;-;2;3;1;2;1;4;2;1;-;-;2;1;-;-;2;2;-;-;-;31
"241060 RAFAEL GODEIRO";-;1;-;-;1;1;-;-;1;2;-;1;1;1;1;-;1;-;-;1;-;-;-;-;-;-;-;12
"241070 RIACHO DA CRUZ";1;-;1;2;1;-;1;-;-;-;1;-;-;1;2;2;-;1;-;-;-;-;1;1;-;-;-;15
"241080 RIACHO DE SANTANA";1;-;-;1;-;2;-;1;1;2;-;1;1;1;-;2;1;-;2;1;-;1;-;1;-;-;-;19
"241090 RIACHUELO";-;3;2;2;3;5;4;1;4;2;1;1;1;-;3;-;-;2;-;3;3;-;2;-;2;4;-;48
"241100 RODOLFO FERNANDES";4;1;1;4;1;2;1;-;-;2;1;3;-;3;-;3;1;2;1;-;1;-;2;-;3;-;-;36
"241105 TIBAU";-;-;-;1;-;1;2;-;1;4;1;1;-;1;2;-;1;-;1;3;-;-;2;-;3;-;1;25
"241110 RUY BARBOSA";2;2;2;1;1;3;3;1;1;1;1;-;-;1;-;-;-;1;-;-;-;1;2;-;1;-;-;24
"241120 SANTA CRUZ";25;15;18;15;12;19;11;14;5;16;6;9;6;12;8;7;6;9;6;5;10;6;6;3;8;8;5;270
"241140 SANTANA DO MATOS";7;5;6;5;2;3;4;5;1;4;2;5;10;2;2;5;5;2;3;1;1;1;2;3;3;2;-;91
"241142 SANTANA DO SERIDO";-;1;-;1;1;-;-;-;1;2;-;-;3;-;1;-;-;-;1;-;-;-;1;-;1;-;-;13
"241150 SANTO ANTONIO";8;9;8;9;13;8;6;14;10;3;5;5;5;6;9;4;5;6;4;3;2;1;2;7;3;4;6;165
"241160 SAO BENTO DO NORTE";1;-;-;3;-;3;3;-;-;1;1;1;2;1;-;-;1;-;-;2;-;-;-;-;-;1;1;21
"241170 SAO BENTO DO TRAIRI";-;2;2;1;-;2;-;2;1;2;-;2;-;-;1;2;1;-;-;1;-;-;1;-;-;1;1;22
"241180 SAO FERNANDO";1;2;1;-;-;2;1;3;2;3;-;-;1;1;3;3;3;-;1;-;-;2;-;1;-;-;-;30
"241190 SAO FRANCISCO DO OESTE";3;-;3;-;-;-;-;-;1;2;-;-;1;1;-;1;-;-;-;1;1;1;1;1;2;2;-;21
"241200 SAO GONCALO DO AMARANTE";22;31;22;22;19;14;17;23;20;10;13;15;17;20;11;22;13;19;16;32;22;25;17;21;20;18;14;515
"241210 SAO JOAO DO SABUGI";5;2;-;2;1;2;1;-;1;-;-;2;1;-;2;1;1;-;-;2;-;-;-;1;-;-;-;24
"241220 SAO JOSE DE MIPIBU";18;23;13;15;24;18;11;8;15;11;8;8;8;12;7;3;9;9;8;12;6;9;9;8;13;7;6;298
"241230 SAO JOSE DO CAMPESTRE";5;7;3;5;11;6;7;2;2;9;4;5;2;1;1;1;1;2;2;3;3;1;2;4;1;1;2;93
"241240 SAO JOSE DO SERIDO";-;3;1;2;-;-;2;1;-;2;2;-;-;1;-;1;-;2;-;-;1;-;-;2;3;-;1;24
"241250 SAO MIGUEL";4;11;10;7;7;6;13;11;14;10;6;6;2;5;8;1;1;6;5;3;7;2;7;5;2;-;4;163
"241255 SAO MIGUEL DO GOSTOSO";-;-;3;1;1;-;-;2;-;-;2;1;3;2;1;3;-;2;2;2;-;-;1;3;5;-;2;36
"241260 SAO PAULO DO POTENGI";4;3;3;6;3;3;3;2;6;3;1;4;2;3;2;4;2;4;3;1;2;2;2;-;6;2;4;80
"241270 SAO PEDRO";-;-;3;3;1;1;-;1;2;-;-;2;-;-;-;-;4;-;5;-;-;1;1;1;2;-;1;28
"241280 SAO RAFAEL";4;2;4;6;3;4;1;4;3;3;1;1;-;1;4;1;1;-;1;2;1;2;1;3;1;1;3;58
"241290 SAO TOME";10;8;11;4;3;5;3;4;3;6;5;3;2;2;1;1;1;2;3;-;5;1;-;-;4;1;1;89
"241300 SAO VICENTE";3;-;1;1;1;-;4;2;3;3;1;1;3;-;3;2;2;3;1;2;-;-;1;1;-;-;1;39
"241310 SENADOR ELOI DE SOUZA";3;-;-;1;2;1;-;-;1;3;3;1;2;-;-;1;-;-;2;-;2;2;1;2;-;1;1;29
"241320 SENADOR GEORGINO AVELINO";4;-;1;2;1;1;-;-;-;1;-;2;1;-;-;2;2;1;1;1;-;1;4;-;3;1;1;30
"241330 SERRA DE SAO BENTO";2;1;-;-;2;1;2;1;2;1;-;2;-;2;2;-;1;-;2;3;-;1;-;2;-;1;1;29
"241335 SERRA DO MEL";-;2;-;2;6;5;6;5;3;7;2;3;6;1;1;3;5;1;1;1;4;5;1;4;2;-;6;82
"241340 SERRA NEGRA DO NORTE";3;1;-;2;2;3;4;1;3;1;1;1;3;-;2;2;4;1;-;-;-;1;-;-;-;1;-;36
"241350 SERRINHA";5;2;7;2;9;2;-;4;-;3;2;-;-;3;2;-;-;-;4;2;-;3;1;2;-;1;-;54
"241355 SERRINHA DOS PINTOS";-;-;-;-;-;-;3;3;1;1;1;-;3;-;-;-;1;2;-;-;-;-;1;-;-;1;-;17
"241360 SEVERIANO MELO";2;3;-;1;4;1;4;1;2;4;-;3;1;-;3;1;-;-;-;2;1;2;2;-;-;1;2;40
"241370 SITIO NOVO";-;2;1;2;1;-;-;1;-;-;-;-;1;2;1;-;3;-;2;-;-;-;1;1;-;-;1;19
"241380 TABOLEIRO GRANDE";1;1;2;1;-;-;1;-;2;-;1;-;-;-;-;1;-;2;-;-;-;-;2;-;-;-;-;14
