 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2022
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"140002 AMAJARI";-;-;1;14;14;6;1;6;4;8;9;6;3;14;6;1;9;17;16;10;13;10;19;22;22;24;19;274
"140005 ALTO ALEGRE";4;5;5;26;13;8;6;9;13;7;32;18;10;29;4;9;19;43;28;25;26;18;27;33;22;37;39;515
"140010 BOA VISTA";204;105;118;98;105;106;61;75;90;86;79;82;84;79;72;64;90;76;93;78;96;84;111;127;111;108;109;2591
"140015 BONFIM";7;4;7;5;7;7;6;12;4;10;9;7;3;7;6;3;1;6;5;8;4;12;8;5;13;11;5;182
"140017 CANTA";-;2;4;3;4;3;8;4;7;5;4;2;2;6;3;3;6;4;9;9;1;5;5;7;8;5;6;125
"140020 CARACARAI";5;5;6;28;9;6;5;3;2;6;4;9;10;7;2;4;23;20;16;17;19;18;32;12;28;15;8;319
"140023 CAROEBE";-;-;2;3;-;3;1;1;2;1;3;1;4;-;2;2;1;2;2;4;-;3;5;4;1;1;1;49
"140028 IRACEMA";-;2;-;2;1;1;2;3;7;3;1;2;2;7;2;1;2;4;5;2;1;2;7;3;1;5;1;69
"140030 MUCAJAI";4;4;10;7;4;6;4;7;8;6;6;3;2;4;4;3;2;7;5;9;6;5;6;5;6;6;8;147
"140040 NORMANDIA";6;4;3;5;4;4;4;7;12;7;10;5;9;4;8;3;3;7;7;4;7;10;6;6;11;6;6;168
"140045 PACARAIMA";-;3;3;6;3;3;2;4;13;3;9;7;13;5;3;10;2;8;5;6;7;15;9;18;8;11;19;195
"140047 RORAINOPOLIS";-;5;4;6;5;7;9;7;6;8;12;7;4;3;3;9;6;4;10;1;18;5;9;9;9;10;6;182
"140050 SAO JOAO DA BALIZA";3;4;1;1;2;2;2;2;3;3;6;3;2;-;3;-;2;3;2;5;3;1;2;1;4;1;2;63
"140060 SAO LUIZ";4;3;2;2;-;-;-;4;1;-;3;3;1;-;-;1;-;-;5;1;1;1;2;1;2;-;4;41
"140070 UIRAMUTA";-;3;2;4;10;1;6;17;15;22;16;9;19;12;8;12;9;8;17;12;8;21;18;11;18;29;13;320
" MUNICIPIO IGNORADO - PA";-;2;5;1;-;1;1;-;1;1;1;2;1;-;4;2;1;2;2;3;-;-;1;4;3;-;1;39
"150010 ABAETETUBA";49;50;53;69;65;70;63;79;62;41;38;45;37;32;52;38;44;40;25;39;37;43;41;30;38;48;50;1278
"150013 ABEL FIGUEIREDO";-;2;3;-;2;4;2;1;2;1;4;2;2;5;1;3;-;3;-;3;5;4;4;1;2;1;-;57
"150020 ACARA";3;8;6;35;10;18;21;16;13;20;11;17;19;15;17;8;16;14;20;9;15;16;12;17;21;11;13;401
"150030 AFUA";5;5;3;7;7;13;15;8;12;14;15;11;18;14;12;12;15;9;10;16;10;16;19;12;14;14;19;325
